index,European,Other/Mixed,Asian,African American or Afro-Caribbean,In Part Not Recorded,Hispanic or Latin American,African
2007,72.35772357723577,1.6260162601626018,2.4390243902439024,0.0,22.76422764227642,0.8130081300813009,0.0
2008,82.9896907216495,4.639175257731959,4.639175257731959,3.608247422680412,3.0927835051546393,1.0309278350515463,0.0
2009,70.45454545454545,5.51948051948052,11.03896103896104,3.896103896103896,6.1688311688311686,1.948051948051948,0.974025974025974
2010,62.612612612612615,5.63063063063063,17.34234234234234,5.405405405405405,4.954954954954955,2.2522522522522523,1.8018018018018018
2011,58.777120315581854,2.9585798816568047,21.893491124260358,8.086785009861932,4.339250493096647,1.5779092702169626,2.366863905325444
2012,56.830601092896174,3.825136612021858,19.489981785063755,10.382513661202186,4.735883424408015,3.825136612021858,0.9107468123861567
2013,55.84615384615385,4.3076923076923075,22.615384615384613,6.923076923076923,4.769230769230769,4.615384615384616,0.9230769230769231
2014,53.154574132492115,5.047318611987381,19.558359621451103,6.940063091482649,8.990536277602523,4.574132492113565,1.7350157728706623
2015,49.72497249724972,6.380638063806381,16.94169416941694,6.710671067106711,10.561056105610561,6.820682068206821,2.8602860286028604
2016,48.4,1.52,12.16,8.48,21.12,6.16,2.16
2017,70.56750088121255,2.8903771589707437,9.834332040888262,4.652802255904124,5.675008812125484,4.723299259781459,1.6566795911173775
2018,50.6974506974507,4.761904761904762,21.21212121212121,6.108706108706109,8.513708513708513,4.761904761904762,3.9442039442039443
2019,47.55140186915888,5.271028037383178,14.392523364485982,9.981308411214954,10.2803738317757,8.672897196261681,3.8504672897196257
2020,63.29019412643107,5.898456943753111,15.057242409158786,4.355400696864112,3.683424589347934,5.599800895968143,2.1154803384768543
2021,78.39515875510845,2.039453002200566,10.527349889971708,1.4225086450801636,4.809808236403647,1.8822697265011001,0.9234517447343602
2022,95.52775873886223,0.3084304318026045,1.5849897189856066,0.7539410555174777,0.7196710075394105,0.6339958875942426,0.4712131596984236
